Age;3H;3He(trit);3Ho;3H/3Ho;SF6
329;1,155977335;12,46306242;13,61886914;0,134753228;0,023031916
330;1,148517794;12,40538624;13,55373443;0,134753228;0,022784329
331;1,141103247;12,34801998;13,48895462;0,134753228;0,022539704
332;1,133733466;12,29096378;13,42452841;0,134753228;0,022298002
333;1,126408225;12,23421409;13,36045446;0,134753228;0,022059185
334;1,119127296;12,17777103;13,29673145;0,134753228;0,021823214
335;1,111890454;12,12163472;13,23335938;0,134753228;0,02159005
336;1,104697472;12,06580162;13,17033426;0,134753228;0,021359657
337;1,097548125;12,01027183;13,10765607;0,134753228;0,021131999
338;1,09044219;11,95504542;13,04532347;0,134753228;0,020907038
339;1,083379441;11,90011889;12,98333642;0,134753228;0,02068474
340;1,076359656;11,84549347;12,92169096;0,134753228;0,020465068
341;1,069382611;11,79116568;12,86038704;0,134753228;0,02024799
342;1,062448083;11,73713673;12,79942457;0,134753228;0,02003347
343;1,055555852;11,68340313;12,73879965;0,134753228;0,019821475
344;1,048705696;11,62996609;12,67851218;0,134753228;0,019611972
345;1,041897393;11,57682328;12,61856205;0,134753228;0,019404928
346;1,035130726;11,5239724;12,55894538;0,134753228;0,019200312
347;1,028405472;11,47141461;12,49966331;0,134753228;0,018998091
348;1,021721416;11,41914645;12,44071195;0,134753228;0,018798234
349;1,015078337;11,36716905;12,38209243;0,134753228;0,018600711
350;1,008476018;11,31548011;12,32380089;0,134753228;0,018405491
351;1,001914243;11,26407846;12,26583841;0,134753228;0,018212544
352;0,995392796;11,21296183;12,20820237;0,134753228;0,018021841
353;0,988911461;11,16213127;12,15089019;0,134753228;0,017833354
354;0,982470023;11,11158451;12,09390291;0,134753228;0,017647052
355;0,976068268;11,06132037;12,03723792;0,134753228;0,017462909
356;0,969705982;11,01133768;11,98089264;0,134753228;0,017280896
357;0,963382953;10,96163417;11,92486809;0,134753228;0,017100986
358;0,957098969;10,91221086;11,86916167;0,134753228;0,016923152
359;0,950853818;10,86306547;11,81377082;0,134753228;0,016747368
360;0,94464729;10,81419683;11,75869651;0,134753228;0,016573606
361;0,938479174;10,76560375;11,70393618;0,134753228;0,016401842
362;0,932349262;10,71728506;11,64948843;0,134753228;0,01623205
363;0,926257344;10,66923957;11,59535187;0,134753228;0,016064204
364;0,920203214;10,62146612;11,54152511;0,134753228;0,01589828
365;0,914186664;10,5739635;11,48800678;0,134753228;0,015734253
366;0,908207487;10,52673055;11,43479433;0,134753228;0,0155721
367;0,902265478;10,47976609;11,38188867;0,134753228;0,015411797
368;0,896360432;10,43306892;11,32928726;0,134753228;0,015253319
369;0,890492146;10,38663787;11,27698873;0,134753228;0,015096645
370;0,884660415;10,34047176;11,22499168;0,134753228;0,014941752
371;0,878865037;10,2945694;11,17329473;0,134753228;0,014788616
372;0,873105811;10,24893065;11,1218965;0,134753228;0,014637216
373;0,867382535;10,20355225;11,0707967;0,134753228;0,01448753
374;0,861695009;10,15843407;11,01999176;0,134753228;0,014339536
