# Date, Tracer1, Tracer2
1942-09,37.239,1.841
1942-10,36.951,1.846
1942-11,36.665,1.850
1942-12,36.381,1.855
1943-01,36.099,1.859
1943-02,35.820,1.864
1943-03,35.543,1.868
1943-04,35.267,1.872
1943-05,34.994,1.877
1943-06,34.723,1.881
1943-07,34.455,1.886
1943-08,34.188,1.890
1943-09,33.923,1.894
1943-10,33.661,1.899
1943-11,33.400,1.903
1943-12,33.142,1.907
1944-01,32.885,1.912
1944-02,32.631,1.916
1944-03,32.378,1.920
1944-04,32.128,1.925
1944-05,31.879,1.929
1944-06,31.633,1.933
1944-07,31.388,1.938
1944-08,31.145,1.942
1944-09,30.904,1.946
1944-10,30.665,1.951
1944-11,30.428,1.955
1944-12,30.193,1.959
1945-01,29.959,1.963
1945-02,29.727,1.968
1945-03,29.498,1.972
1945-04,29.269,1.976
1945-05,29.043,1.980
1945-06,28.818,1.984
1945-07,28.596,1.988
1945-08,28.375,1.992
1945-09,28.155,1.996
1945-10,27.938,2.001
1945-11,27.722,2.005
1945-12,27.507,2.009
1946-01,27.295,2.013
1946-02,27.084,2.017
1946-03,26.874,2.021
1946-04,26.667,2.025
1946-05,26.461,2.029
1946-06,26.256,2.033
1946-07,26.053,2.037
1946-08,25.852,2.042
1946-09,25.652,2.046
1946-10,25.454,2.050
1946-11,25.257,2.054
1946-12,25.062,2.057
1947-01,24.869,2.061
1947-02,24.677,2.065
1947-03,24.486,2.069
1947-04,24.297,2.073
1947-05,24.109,2.077
1947-06,23.923,2.081
1947-07,23.738,2.085
1947-08,23.555,2.089
1947-09,23.373,2.093
1947-10,23.193,2.097
1947-11,23.014,2.101
1947-12,22.836,2.105
1948-01,22.660,2.109
1948-02,22.485,2.113
1948-03,22.311,2.117
1948-04,22.139,2.121
1948-05,21.968,2.125
1948-06,21.799,2.129
1948-07,21.631,2.133
1948-08,21.464,2.136
1948-09,21.298,2.140
1948-10,21.134,2.144
1948-11,20.971,2.148
1948-12,20.809,2.152
1949-01,20.649,2.156
1949-02,20.490,2.160
1949-03,20.332,2.163
1949-04,20.175,2.167
1949-05,20.019,2.171
1949-06,19.865,2.174
1949-07,19.712,2.178
1949-08,19.560,2.182
1949-09,19.409,2.186
1949-10,19.259,2.190
1949-11,19.111,2.193
1949-12,18.964,2.197
1950-01,18.817,2.200
1950-02,18.672,2.204
1950-03,18.529,2.208
1950-04,18.386,2.211
1950-05,18.244,2.215
1950-06,18.104,2.219
1950-07,17.964,2.222
1950-08,17.826,2.226
1950-09,17.689,2.230
1950-10,17.552,2.233
1950-11,17.417,2.237
1950-12,17.283,2.240
1951-01,17.150,2.244
1951-02,17.018,2.248
1951-03,16.887,2.251
1951-04,16.757,2.255
1951-05,16.628,2.258
1951-06,16.500,2.262
1951-07,16.373,2.265
1951-08,16.247,2.269
1951-09,16.122,2.272
1951-10,15.998,2.276
