tts,weights
3.570594e+03,6.931488e-04
3.375295e+03,6.899024e-04
2.614840e+03,6.869506e-04
2.460430e+03,6.846725e-04
2.584765e+03,6.710194e-04
2.431729e+03,6.783113e-04
3.546862e+03,7.107306e-04
3.503548e+03,7.107306e-04
2.720089e+03,6.990612e-04
2.581512e+03,6.882927e-04
2.682837e+03,6.990612e-04
2.546213e+03,6.846725e-04
1.838823e+03,6.846725e-04
2.842291e+03,7.259053e-04
2.722086e+03,7.071447e-04
2.800683e+03,7.259053e-04
2.682689e+03,6.990612e-04
1.940819e+03,6.897458e-04
1.850744e+03,6.790085e-04
1.910960e+03,6.882927e-04
2.963205e+03,7.346191e-04
2.861159e+03,7.346191e-04
2.924217e+03,7.346191e-04
2.822579e+03,7.071447e-04
2.043058e+03,7.111442e-04
1.960654e+03,6.897458e-04
2.013683e+03,6.897458e-04
1.935784e+03,6.744050e-04
3.082622e+03,7.635387e-04
2.993808e+03,7.364733e-04
3.046228e+03,7.635387e-04
2.957564e+03,7.364733e-04
2.142151e+03,7.111657e-04
2.065294e+03,6.895857e-04
2.114802e+03,7.111442e-04
2.044563e+03,6.895857e-04
3.201147e+03,7.692388e-04
3.117121e+03,7.580351e-04
3.166817e+03,7.580351e-04
3.083322e+03,7.580351e-04
2.233930e+03,7.315554e-04
2.159629e+03,7.074821e-04
2.207157e+03,7.111657e-04
2.140079e+03,7.111657e-04
3.342300e+03,7.421717e-04
3.239133e+03,7.212585e-04
3.294038e+03,7.692388e-04
3.206693e+03,7.434343e-04
2.324209e+03,7.204510e-04
2.243947e+03,7.005243e-04
2.294269e+03,7.315554e-04
2.224664e+03,7.074821e-04
3.508851e+03,7.276562e-04
3.386531e+03,7.080139e-04
3.437792e+03,7.669467e-04
3.335819e+03,7.421717e-04
2.415968e+03,7.212585e-04
2.321568e+03,7.041864e-04
2.387151e+03,7.041864e-04
2.298399e+03,7.204510e-04
3.557625e+03,6.836672e-04
3.616026e+03,6.836672e-04
3.481260e+03,7.276562e-04
2.520485e+03,6.936027e-04
2.400746e+03,6.841122e-04
2.491912e+03,6.936027e-04
2.376569e+03,6.841122e-04
2.661040e+03,6.311878e-04
2.493008e+03,6.628378e-04
2.616120e+03,6.699752e-04
2.465722e+03,6.628378e-04
2.850433e+03,5.964256e-04
2.622679e+03,5.943693e-04
2.777281e+03,6.388321e-04
2.581519e+03,6.311878e-04
3.084313e+03,6.115438e-04
2.819053e+03,5.662029e-04
2.989729e+03,6.077288e-04
2.748995e+03,5.964256e-04
3.279531e+03,6.971494e-04
3.047479e+03,6.075098e-04
3.224565e+03,6.495671e-04
2.976511e+03,5.837047e-04
1.907295e+03,5.616442e-04
1.849402e+03,5.740419e-04
3.364179e+03,8.984305e-04
3.211409e+03,7.696244e-04
3.363217e+03,8.786243e-04
3.186148e+03,7.081284e-04
2.127647e+03,5.465016e-04
1.832707e+03,5.345120e-04
2.051202e+03,5.280172e-04
3.339174e+03,1.030754e-03
3.234308e+03,9.559562e-04
3.415706e+03,9.559562e-04
3.288526e+03,8.345494e-04
2.339209e+03,6.176455e-04
2.062854e+03,5.180958e-04
2.272327e+03,5.717174e-04
1.990298e+03,5.319641e-04
3.357610e+03,1.029242e-03
3.262260e+03,1.040210e-03
3.358586e+03,1.040210e-03
3.263605e+03,1.030754e-03
2.459332e+03,7.299609e-04
2.255631e+03,6.176455e-04
2.441712e+03,7.299609e-04
2.222222e+03,5.741566e-04
3.425524e+03,8.226459e-04
3.287128e+03,8.798772e-04
3.380235e+03,9.547051e-04
3.275209e+03,9.995128e-04
2.495628e+03,9.152659e-04
2.367667e+03,7.937086e-04
2.500156e+03,8.572015e-04
2.356005e+03,7.299609e-04
3.521787e+03,7.096441e-04
3.361611e+03,8.226459e-04
3.497804e+03,7.646496e-04
3.349378e+03,8.226459e-04
2.532499e+03,9.939627e-04
2.434043e+03,9.152659e-04
2.539747e+03,9.624596e-04
2.433387e+03,8.572015e-04
3.545452e+03,6.485295e-04
3.468528e+03,6.956417e-04
2.591800e+03,9.674773e-04
2.495212e+03,9.213032e-04
2.575976e+03,1.006507e-03
2.483054e+03,9.213032e-04
3.628818e+03,6.373331e-04
3.617265e+03,6.373331e-04
2.658349e+03,9.674773e-04
2.566714e+03,9.213032e-04
2.637018e+03,9.628262e-04
2.545521e+03,9.213032e-04
2.748471e+03,9.674773e-04
2.653104e+03,8.361374e-04
2.719146e+03,9.674773e-04
2.631019e+03,9.213032e-04
2.847529e+03,9.102259e-04
2.739453e+03,7.273026e-04
2.826818e+03,9.102259e-04
2.726019e+03,7.837857e-04
2.947664e+03,8.361374e-04
2.810675e+03,6.054415e-04
2.939331e+03,8.361374e-04
2.815347e+03,6.524038e-04
3.044717e+03,7.027025e-04
2.867166e+03,5.339630e-04
3.050024e+03,7.027025e-04
2.886828e+03,5.637050e-04
3.124210e+03,5.996859e-04
2.940275e+03,5.260976e-04
3.145052e+03,6.524038e-04
